date,gold,silver
01/10/1980,341.81,1575.35
01/11/1980,355.84,1621.55
01/14/1980,370.06,1668.9
01/15/1980,390.98,1715.19
01/16/1980,418.84,1761.5
01/17/1980,446.73,1807.85
01/18/1980,469.2,1854.23
01/21/1980,478.56,1901.93
01/22/1980,450.93,1856.74
01/23/1980,423.28,1811.52
01/24/1980,395.62,1766.27
01/25/1980,367.93,1720.99
01/28/1980,367.31,1676.85
01/29/1980,395.29,1700.39
01/30/1980,379.71,1678
01/31/1980,392.67,1644.1
02/01/1980,392.8,1598.67
02/04/1980,378.13,1554.27
02/05/1980,392.22,1600.85
02/06/1980,406.32,1647.46
02/07/1980,396.96,1694.1
02/08/1980,401.28,1740.65
02/11/1980,406.45,1788.33
02/12/1980,402.39,1786.19
02/13/1980,397.21,1742.97
02/14/1980,386.98,1704.88
02/15/1980,381.51,1678.15
02/18/1980,381.51,1678.15
02/19/1980,368.01,1634.89
02/20/1980,377.96,1589.86
02/21/1980,374.44,1620.06
02/22/1980,360.53,1574.99
02/25/1980,370.77,1597.3
02/26/1980,357.69,1577.1
02/27/1980,359.79,1582.03
02/28/1980,366.4,1616.93
02/29/1980,360.62,1663.28
03/03/1980,361.6,1648.72
03/04/1980,367.67,1689.23
03/05/1980,363.01,1687.59
03/06/1980,349.04,1653.85
03/07/1980,341.83,1608.61
03/10/1980,321.21,1564.75
03/11/1980,322.53,1519.47
03/12/1980,328.74,1474.14
03/13/1980,308.18,1428.78
03/14/1980,299.97,1383.38
03/17/1980,272.9,1339.11
03/18/1980,277.41,1293.6
03/19/1980,305.03,1248.04
03/20/1980,305.6,1202.45
03/21/1980,320.43,1156.82
03/24/1980,312.52,1112.08
03/25/1980,301.13,1066.31
03/26/1980,287.47,1020.5
03/27/1980,273.8,974.66
03/28/1980,289.92,928.77
03/31/1980,287.01,883.71
04/01/1980,284.94,837.74
04/02/1980,280.09,791.72
04/03/1980,277.73,745.66
04/04/1980,277.73,745.66
04/07/1980,292.08,714.4
04/08/1980,306.07,760.96
04/09/1980,305.37,747.48
04/10/1980,302.45,726.68
04/11/1980,302.3,720.54
04/14/1980,289.04,687.53
04/15/1980,295,674.7
04/16/1980,287.33,664.13
04/17/1980,290.79,667.79
04/18/1980,289.8,659.69
04/21/1980,277.31,637.81
04/22/1980,284.67,636.47
04/23/1980,287.57,636.49
04/24/1980,300.53,659.42
04/25/1980,305.67,682.37
04/28/1980,292.02,649.04
04/29/1980,296.04,636.54
04/30/1980,283.84,591.3
05/01/1980,291.22,563.32
05/02/1980,289.08,609.02
05/05/1980,293.27,610.49
05/06/1980,286.07,594.73
05/07/1980,290.08,606.76
05/08/1980,287.61,597.37
05/09/1980,289.52,597.55
05/12/1980,286.27,577.5
05/13/1980,292.18,597.29
05/14/1980,294.85,600.65
05/15/1980,288.93,577.98
05/16/1980,289.06,576.76
05/19/1980,287.06,554.32
05/20/1980,287.57,539.82
05/21/1980,284.39,521.65
05/22/1980,288.76,534.13
05/23/1980,286.29,551.65
05/26/1980,286.29,551.65
05/27/1980,295.04,575.11
05/28/1980,292.62,593.59
05/29/1980,297.4,605.2
05/30/1980,307.16,639.74
06/02/1980,319.26,676.85
06/03/1980,315.17,677
06/04/1980,328.26,711.57
06/05/1980,330.82,736.97
06/06/1980,341.42,776.16
06/09/1980,351.36,811.02
06/10/1980,337.57,765.57
06/11/1980,329.88,720.25
06/12/1980,338,728.75
06/13/1980,340.3,747.89
06/16/1980,332.15,714.4
06/17/1980,336.94,725.6
06/18/1980,335.05,704.71
06/19/1980,340.67,720.89
06/20/1980,338.79,720.8
06/23/1980,339.25,706.02
06/24/1980,347.09,726.75
06/25/1980,346.88,725.97
06/26/1980,352.23,737.88
06/27/1980,365.92,760.66
06/30/1980,364.19,766.1
07/01/1980,376.51,775.32
07/02/1980,371.85,774.56
07/03/1980,376.66,783.79
07/04/1980,376.66,783.79
07/07/1980,381.46,799
07/08/1980,378.33,776.49
07/09/1980,371.74,755.32
07/10/1980,374.46,731.42
07/11/1980,373.86,752.03
07/14/1980,360.65,729.82
07/15/1980,347.3,707.26
07/16/1980,350.44,716.97
07/17/1980,345.58,718.96
07/18/1980,341.63,714.57
07/21/1980,341.65,717.34
07/22/1980,355.18,740.28
07/23/1980,353.11,738.17
07/24/1980,357.49,753.37
07/25/1980,365.06,767.68
07/28/1980,362.71,757.24
07/29/1980,356.22,749.2
07/30/1980,342.83,726.55
07/31/1980,346.14,709.82
08/01/1980,345.14,723.22
08/04/1980,350.77,728.74
08/05/1980,350.58,734.39
08/06/1980,353.09,751.24
08/07/1980,354.25,748.9
08/08/1980,349.47,732.71
08/11/1980,336.76,714.09
08/12/1980,342.25,725.24
08/13/1980,343.42,724.43
08/14/1980,350.21,732.84
08/15/1980,343.59,724.8
08/18/1980,346.82,726.89
08/19/1980,347.72,730.85
08/20/1980,361.35,753.3
08/21/1980,357.1,749.03
08/22/1980,356.65,751.44
08/25/1980,348.96,735.98
08/26/1980,353.23,741.08
08/27/1980,354.68,743.51
08/28/1980,355.04,742.81
08/29/1980,356.22,751.94
09/01/1980,356.22,751.94
09/02/1980,358.8,754.13
09/03/1980,357.81,749.87
09/04/1980,366.07,772.44
09/05/1980,364.54,795.02
09/08/1980,378.46,829.27
09/09/1980,377.75,874.29
09/10/1980,383.31,904.1
09/11/1980,388.87,949.16
09/12/1980,383.8,959.29
09/15/1980,373.76,915.25
09/16/1980,382.05,960.37
09/17/1980,377.79,960.65
09/18/1980,378.45,962.27
09/19/1980,386.74,996.21
09/22/1980,400.76,1042.05
09/23/1980,400.06,1076.08
09/24/1980,399.08,1048.07
09/25/1980,398.65,1050.64
09/26/1980,385.09,1017.2
09/29/1980,371.74,973.07
09/30/1980,377.33,957.59
10/01/1980,381.82,996.17
10/02/1980,375.63,962.66
10/03/1980,375.47,931.38
10/06/1980,380.78,977.42
10/07/1980,377.88,954.26
10/08/1980,379.1,968.57
10/09/1980,384.44,1000.51
10/10/1980,384.84,994.51
10/13/1980,380.64,972.84
10/14/1980,380.66,979.94
10/15/1980,377.75,966.67
10/16/1980,373.19,951.13
10/17/1980,366.42,928.79
10/20/1980,367.88,904.75
10/21/1980,368.55,911.38
10/22/1980,364.25,898.52
10/23/1980,350.57,864.77
10/24/1980,352.89,862.78
10/27/1980,354.06,858.16
10/28/1980,355,861.62
10/29/1980,356.78,883.72
10/30/1980,358.27,887.19
10/31/1980,355.34,869.27
11/03/1980,362.92,892.95
11/04/1980,362.92,892.95
11/05/1980,356.52,873.07
11/06/1980,342.78,851.94
11/07/1980,336.8,829.44
11/10/1980,338.58,825.8
11/11/1980,342.76,817.14
11/12/1980,343.71,839.71
11/13/1980,339.59,856.01
11/14/1980,345.24,846.25
11/17/1980,343.84,845.47
11/18/1980,346.63,855.23
11/19/1980,353.86,877.51
11/20/1980,360.66,894.54
11/21/1980,357.49,894
11/24/1980,346.25,862.09
11/25/1980,351.99,857.38
11/26/1980,349.25,856.4
11/27/1980,349.25,856.4
11/28/1980,350.62,857.54
12/01/1980,352.41,858.58
12/02/1980,349.56,845.69
12/03/1980,352.86,857.08
12/04/1980,348.75,837.54
12/05/1980,348.08,828.16
12/08/1980,344.36,807.07
12/09/1980,332.27,785.27
12/10/1980,318.74,752.37
12/11/1980,305.21,708.38
12/12/1980,321.2,702.91
12/15/1980,321.92,702.55
12/16/1980,317.96,684.23
12/17/1980,322.49,717.87
12/18/1980,319.9,707.09
12/19/1980,333.49,745.21
12/22/1980,332.04,732.91
12/23/1980,338.79,765.78
12/24/1980,339.5,763.47
12/25/1980,339.5,763.47
12/26/1980,339.5,763.47
12/29/1980,328.13,720.49
12/30/1980,328.27,702.03
12/31/1980,330.89,721.11
01/01/1981,330.89,721.11
01/02/1981,328.41,718.59
01/05/1981,332.67,748.56
01/06/1981,334.74,748.85
01/07/1981,321.04,726.73
01/08/1981,319.75,704.58
01/09/1981,321.88,697.68
01/12/1981,314.22,686.8
01/13/1981,313.79,689.31
01/14/1981,318.23,701.72
01/15/1981,312.09,681.75
01/16/1981,315.34,694.61
01/19/1981,314.78,695.06
01/20/1981,317.9,705.73
01/21/1981,316.41,685.75
01/22/1981,310.43,668
01/23/1981,307.91,657.91
01/26/1981,294.75,636.18
01/27/1981,290.48,617.47
01/28/1981,283.28,613.22
01/29/1981,287.54,631.6
01/30/1981,278.69,609.24
02/02/1981,268.17,588.26
02/03/1981,275.09,595.32
02/04/1981,272.49,590.13
02/05/1981,278.05,600.83
02/06/1981,280.35,621.52
02/09/1981,288.07,644.91
02/10/1981,282.73,619.61
02/11/1981,277.11,598.3
02/12/1981,275.59,576.37
02/13/1981,274.06,581.93
02/16/1981,274.06,581.93
02/17/1981,277.82,601.13
02/18/1981,274.38,584.53
02/19/1981,282.73,605.43
02/20/1981,282.3,602.14
02/23/1981,277.46,590.26
02/24/1981,280.87,594.07
02/25/1981,277.15,587.43
02/26/1981,274.52,565.42
02/27/1981,267.77,557.21
03/02/1981,256.24,535.57
03/03/1981,262.41,552.74
03/04/1981,254.24,530.64
03/05/1981,257.38,534.87
03/06/1981,257.76,536.42
03/09/1981,262.52,540.66
03/10/1981,268.38,548.94
03/11/1981,264.33,534.39
03/12/1981,268.37,544.91
03/13/1981,270.48,554.99
03/16/1981,274.6,564.62
03/17/1981,282.08,582.8
03/18/1981,281.87,597.4
03/19/1981,283.55,591.79
03/20/1981,297.23,614.5
03/23/1981,292.56,592.67
03/24/1981,298.31,600.98
03/25/1981,295.92,585.44
03/26/1981,303.86,604.57
03/27/1981,295.32,582.26
03/30/1981,285.83,560.34
03/31/1981,286.48,542.94
04/01/1981,287.94,550.81
04/02/1981,288.32,552.81
04/03/1981,290.6,555.72
04/06/1981,293.92,558.57
04/07/1981,285.55,539.32
04/08/1981,286.74,529.57
04/09/1981,274.27,513.63
04/10/1981,271.36,508.02
04/13/1981,266.76,510.23
04/14/1981,269.6,516.39
04/15/1981,264.4,507.1
04/16/1981,271.74,519.9
04/17/1981,271.74,519.9
04/20/1981,272.28,526.11
04/21/1981,273.37,524.99
04/22/1981,272.65,517.13
04/23/1981,273.86,518.66
04/24/1981,270.28,512.09
04/27/1981,270.43,513.25
04/28/1981,269.87,509.01
04/29/1981,267.05,501.88
04/30/1981,269.64,505.63
05/01/1981,273.6,507.15
05/04/1981,268.68,501.09
05/05/1981,268.79,501.43
05/06/1981,267.79,500.6
05/07/1981,269.28,503.03
05/08/1981,274.66,525.07
05/11/1981,270.38,511.95
05/12/1981,272.44,503.7
05/13/1981,267.42,501.7
05/14/1981,269.86,497.9
05/15/1981,266.05,500.81
05/18/1981,269.06,504.2
05/19/1981,265.79,500.85
05/20/1981,268.13,500.19
05/21/1981,260.1,487.87
05/22/1981,261.79,481.37
05/25/1981,261.79,481.37
05/26/1981,259.18,469.22
05/27/1981,261.9,477.52
05/28/1981,267.97,490.33
05/29/1981,267.01,489.65
06/01/1981,264.68,480.89
06/02/1981,264.53,481.12
06/03/1981,261.67,468.72
06/04/1981,258.81,461.28
06/05/1981,251.59,451.57
06/08/1981,257.64,463.28
06/09/1981,255.57,455.97
06/10/1981,260.04,465.1
06/11/1981,259.61,471.56
06/12/1981,259.73,478.36
06/15/1981,257.87,465.32
06/16/1981,258.25,461.11
06/17/1981,256.45,461.39
06/18/1981,255.47,455.55
06/19/1981,255.85,455.3
06/22/1981,258.77,463.02
06/23/1981,258.26,463.73
06/24/1981,252.5,454.62
06/25/1981,247.38,432.68
06/26/1981,245.28,422.67
06/29/1981,237.35,401.04
06/30/1981,235.52,390.12
07/01/1981,230.39,379.64
07/02/1981,229.11,382.45
07/03/1981,229.11,382.45
07/06/1981,222.59,376.84
07/07/1981,225.71,386.77
07/08/1981,224.47,394.48
07/09/1981,229.26,404.86
07/10/1981,232.83,415.25
07/13/1981,225.96,398.83
07/14/1981,228.99,397.21
07/15/1981,228.98,397.82
07/16/1981,231.02,403.78
07/17/1981,232.7,409.75
07/20/1981,228.13,395.07
07/21/1981,228.54,395.68
07/22/1981,226.79,392.26
07/23/1981,227.26,389.74
